water_name,county,raw_species,standardized_species,quantity,length,stock_date,source_year,lake_id,match_type,match_details
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,500,10.96,2017-07-03,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,250,10.6,2017-07-10,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,BROOK TROUT,Brookies,503,2.29,2017-07-12,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,TIGER TROUT,Tigers,602,9.92,2017-07-12,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,TIGER TROUT,Tigers,602,9.92,2017-07-17,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,249,10.98,2017-07-19,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,450,10.77,2017-07-25,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,351,10.68,2017-07-31,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,TIGER TROUT,Tigers,451,9.92,2017-07-31,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,351,10.68,2017-08-07,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,251,11.02,2017-08-14,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,TIGER TROUT,Tigers,600,10.63,2017-08-14,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,251,11.44,2017-08-22,2017,309,exact,Matched on letter-number: A-60
TEAPOT L A-60,SUMMIT,RAINBOW,Rainbows,249,11.44,2017-08-28,2017,309,exact,Matched on letter-number: A-60
TOMAHAWK,SUMMIT,RAINBOW,Rainbows,224,9.93,2017-05-30,2017,,none,No match found
